eye_status,hand_status,timestamp
looking leftward,both hands are in the zone,2024-08-27 17:30:07.614709
looking leftward,both hands are in the zone,2024-08-27 17:30:07.705087
looking leftward,both hands are in the zone,2024-08-27 17:30:07.786098
looking upward,both hands are in the zone,2024-08-27 17:30:07.868325
looking upward,both hands are in the zone,2024-08-27 17:30:07.951028
looking upward,both hands are in the zone,2024-08-27 17:30:08.027773
looking upward,both hands are in the zone,2024-08-27 17:30:08.098699
blinking,both hands are in the zone,2024-08-27 17:30:08.168882
looking downward,both hands are in the zone,2024-08-27 17:30:08.240819
blinking,both hands are in the zone,2024-08-27 17:30:08.310508
looking downward,both hands are in the zone,2024-08-27 17:30:08.385562
blinking,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:08.455246
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:08.529641
looking downward,both hands are in the zone,2024-08-27 17:30:08.632702
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:08.699302
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:08.778508
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:08.856580
looking downward,both hands are in the zone,2024-08-27 17:30:08.952862
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.016537
looking downward,both hands are in the zone,2024-08-27 17:30:09.115348
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.177263
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.257537
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.334086
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.415064
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.494677
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.571588
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.651953
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.746008
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.828011
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:09.918828
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.003345
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.089163
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.171104
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.258003
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.338609
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.419322
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.497597
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.595063
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.697774
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.779878
looking downward,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.859328
blinking,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:10.932710
blinking,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:11.018786
blinking,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:11.098961
blinking,[DETECT LOSS] right hand is not detected,2024-08-27 17:30:11.184008
looking downward,both hands are in the zone,2024-08-27 17:30:11.268690
looking downward,both hands are in the zone,2024-08-27 17:30:11.350984
blinking,both hands are in the zone,2024-08-27 17:30:11.420333
looking downward,both hands are in the zone,2024-08-27 17:30:11.490919
looking downward,both hands are in the zone,2024-08-27 17:30:11.571425
looking downward,both hands are in the zone,2024-08-27 17:30:11.653243
looking downward,both hands are in the zone,2024-08-27 17:30:11.730030
looking downward,both hands are in the zone,2024-08-27 17:30:11.811249
looking downward,both hands are in the zone,2024-08-27 17:30:11.889297
looking downward,both hands are in the zone,2024-08-27 17:30:11.968527
looking downward,both hands are in the zone,2024-08-27 17:30:12.050979
looking downward,both hands are in the zone,2024-08-27 17:30:12.131987
looking downward,both hands are in the zone,2024-08-27 17:30:12.208268
looking downward,both hands are in the zone,2024-08-27 17:30:12.285211
blinking,both hands are in the zone,2024-08-27 17:30:12.355817
looking downward,both hands are in the zone,2024-08-27 17:30:12.422353
blinking,both hands are in the zone,2024-08-27 17:30:12.488410
blinking,both hands are in the zone,2024-08-27 17:30:12.571783
blinking,both hands are in the zone,2024-08-27 17:30:12.656376
blinking,both hands are in the zone,2024-08-27 17:30:12.737202
blinking,both hands are in the zone,2024-08-27 17:30:12.821632
blinking,both hands are in the zone,2024-08-27 17:30:12.899947
