                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4765,                  1.814,                0.36727,                 1.1489,                  1.458,                0.92682,                0.90584,                0.90734,                0.66774,                0.84587,                    0.5,                0.53466,                0.35195,                0.89863,                 3.5644,                0.34723,                0.59128,                 1.0577,                      0,                      0,                      0
                      2,                 1.5087,                 4.2047,                0.41274,                 1.9688,                 1.4395,                0.92812,                0.92272,                0.90735,                0.66833,                0.84411,                    0.5,                 0.5347,                0.35788,                0.89584,                 3.5507,                0.35153,                0.58565,                 1.0576,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.0518,                 3.4206,                0.32323,                0.88908,                 1.2308,                0.88297,                0.92857,                0.94955,                0.67633,                0.84379,                    0.5,                0.53474,                0.34607,                0.89306,                 3.5671,                 0.3556,                0.58566,                 1.0565,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.6482,                 4.8243,                0.46542,                 1.7175,                 1.5174,                0.89152,                0.92857,                0.94583,                0.67622,                0.84243,                    0.5,                0.53481,                0.34613,                0.89173,                 3.5704,                0.35772,                0.57894,                 1.0565,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.2898,                 3.0918,                0.38723,                 1.1656,                 1.3465,                0.90135,                0.92857,                0.94761,                0.67589,                0.84191,                    0.5,                0.53474,                0.33952,                0.89419,                 3.5666,                0.35841,                0.58154,                 1.0574,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.97809,                 3.8614,                0.37724,                0.87707,                 1.2403,                0.84277,                0.92857,                0.89735,                0.65986,                0.84606,                    0.5,                 0.5358,                0.34262,                0.88081,                 3.6515,                0.38206,                0.58857,                 1.0456,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.2275,                 3.2248,                0.34551,                0.94824,                 1.2602,                0.87357,                0.92857,                 0.9413,                0.65527,                 0.7072,                0.57143,                0.54465,                0.33331,                0.90377,                  3.779,                0.39163,                0.62009,                 1.0569,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.2044,                 2.9962,                0.39804,                0.93643,                 1.2547,                0.89241,                0.92857,                0.94269,                0.64991,                0.70531,                0.57143,                0.54479,                 0.3435,                0.90228,                 3.7844,                0.39229,                0.61934,                 1.0566,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.2509,                 3.5283,                0.37723,                 0.9808,                 1.4507,                0.88766,                0.92857,                  0.945,                0.62043,                0.79766,                 0.5639,                0.54957,                0.31684,                0.97697,                 3.9556,                0.40642,                0.65642,                 1.1086,             0.00014733,             0.00014733,             0.00014733
                     10,                0.99195,                 1.7453,                0.29982,                0.95458,                 1.2373,                      1,                0.85319,                0.94385,                0.57604,                0.87346,                0.49382,                0.53459,                0.25855,                 1.0423,                 4.1068,                0.40056,                  0.746,                 1.1279,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.1289,                 3.8465,                0.36697,                  1.038,                  1.261,                      1,                0.84309,                 0.9268,                0.55799,                0.86259,                    0.5,                 0.5654,                0.23305,                 1.1185,                 4.3383,                0.41362,                0.85537,                  1.173,              0.0001802,              0.0001802,              0.0001802
                     12,                  1.035,                 2.0766,                0.33559,                0.69562,                 1.2227,                0.84107,                0.71429,                0.86414,                0.53868,                0.78433,                0.57143,                0.53447,                0.23108,                 1.1406,                 4.5731,                0.42254,                0.96977,                 1.1902,             0.00019604,             0.00019604,             0.00019604
